,index,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,80030,Loyal Customer,63,Business travel,Business,1014,1,1,1,1,3,5,4,,5,5,5,5,5,3,21,23.0,satisfied
1,5038,Loyal Customer,38,Business travel,Business,1705,4,4,2,4,1,1,1,5,5,5,5,1,5,4,0,0.0,satisfied
2,115478,disloyal Customer,25,Business travel,Business,406,1,5,1,1,1,0,1,,5,4,5,3,4,1,1,0.0,neutral or dissatisfied
3,52243,Loyal Customer,46,Personal Travel,Eco,964,2,4,2,1,1,4,1,1,3,2,4,3,4,1,0,0.0,neutral or dissatisfied
4,20901,disloyal Customer,15,Business travel,Eco,951,3,3,3,4,4,1,5,,4,5,5,4,5,4,1,,neutral or dissatisfied
5,93339,Loyal Customer,23,Personal Travel,Eco,204,2,5,2,5,4,4,4,,3,3,1,2,3,4,0,,neutral or dissatisfied
6,5722,Loyal Customer,57,Business travel,Business,2227,2,2,1,2,4,3,4,,4,4,5,4,3,4,184,167.0,satisfied
7,90266,Loyal Customer,59,Business travel,Eco,304,3,5,5,5,3,5,3,,1,1,3,4,3,3,4,,neutral or dissatisfied
8,56546,Loyal Customer,56,Business travel,Business,1726,3,3,3,3,3,1,4,4,4,4,4,5,4,4,6,0.0,satisfied
9,88098,Loyal Customer,32,Business travel,Eco,101,5,1,1,1,5,4,5,5,4,2,5,4,3,5,0,11.0,satisfied
10,77659,Loyal Customer,26,Business travel,Eco,2417,0,4,0,2,3,3,3,,4,1,5,5,2,3,0,0.0,satisfied
11,19866,disloyal Customer,36,Business travel,Eco,610,3,0,3,4,2,2,2,,4,1,3,1,4,2,0,0.0,neutral or dissatisfied
12,50315,disloyal Customer,26,Business travel,Eco,689,3,3,3,1,3,2,3,3,2,1,3,5,5,3,0,,neutral or dissatisfied
13,70782,Loyal Customer,57,Personal Travel,Eco,255,4,1,0,4,4,4,4,,2,2,4,1,4,4,46,37.0,neutral or dissatisfied
14,23156,Loyal Customer,66,Personal Travel,Business,255,4,5,0,1,5,4,3,,5,0,5,2,5,5,2,12.0,neutral or dissatisfied
15,99340,disloyal Customer,25,Business travel,Eco,2586,1,1,1,2,4,3,4,,1,1,2,2,3,4,10,8.0,neutral or dissatisfied
16,57777,disloyal Customer,21,Business travel,Eco,227,2,1,2,3,2,5,3,4,3,4,4,3,2,3,166,185.0,neutral or dissatisfied
17,118193,disloyal Customer,22,Business travel,Business,808,4,0,4,2,2,1,2,,5,2,5,5,5,2,0,0.0,satisfied
18,42586,Loyal Customer,52,Personal Travel,Eco,503,2,4,4,5,3,3,4,,5,4,5,4,5,3,73,63.0,neutral or dissatisfied
19,111791,Loyal Customer,45,Business travel,Eco,849,4,3,3,3,4,4,4,,4,1,4,4,3,4,16,19.0,neutral or dissatisfied
20,119791,Loyal Customer,63,Business travel,Eco,414,4,2,5,5,4,5,4,4,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
21,99921,Loyal Customer,54,Business travel,Business,327,0,0,0,3,3,3,5,,1,1,1,5,1,5,0,0.0,satisfied
22,7911,Loyal Customer,14,Business travel,Business,1165,5,5,5,5,4,3,4,,3,4,4,5,4,4,8,,satisfied
23,76962,Loyal Customer,31,Business travel,Business,651,2,4,4,4,2,2,2,,4,3,3,4,4,2,0,0.0,neutral or dissatisfied
24,125921,Loyal Customer,49,Personal Travel,Eco,468,2,4,2,3,2,5,3,2,3,2,5,4,4,2,40,30.0,neutral or dissatisfied
25,107670,Loyal Customer,63,Personal Travel,Eco,1773,3,5,3,2,2,3,1,4,4,3,4,3,4,2,0,,neutral or dissatisfied
26,116536,Loyal Customer,48,Business travel,Eco,692,4,2,4,4,4,3,4,,1,1,2,4,2,4,0,0.0,satisfied
27,78045,Loyal Customer,49,Business travel,Business,3955,3,3,3,3,5,2,4,,5,5,5,4,5,3,59,49.0,satisfied
28,58588,Loyal Customer,46,Business travel,Business,2261,4,4,4,4,4,4,5,5,5,5,5,4,5,4,14,0.0,satisfied
29,84997,disloyal Customer,20,Business travel,Eco,2565,3,3,3,1,3,4,5,4,5,4,4,5,5,5,0,,neutral or dissatisfied
30,16149,Loyal Customer,52,Business travel,Business,3685,3,2,2,2,4,4,2,3,3,2,3,2,3,2,0,2.0,neutral or dissatisfied
31,62266,Loyal Customer,44,Business travel,Business,3621,1,2,2,2,1,1,4,,1,2,1,4,1,1,32,15.0,neutral or dissatisfied
32,7597,Loyal Customer,25,Personal Travel,Eco,1024,2,4,2,1,1,5,1,,3,3,5,5,5,1,0,0.0,neutral or dissatisfied
33,1284,Loyal Customer,61,Business travel,Business,2407,1,1,1,1,5,3,1,,3,3,1,1,3,1,11,4.0,neutral or dissatisfied
34,112450,Loyal Customer,49,Business travel,Business,3885,5,5,5,5,3,3,4,,4,4,4,4,4,3,40,36.0,satisfied
35,91678,Loyal Customer,45,Business travel,Eco,383,1,4,4,4,1,1,2,4,2,3,4,2,1,2,137,129.0,neutral or dissatisfied
36,97881,disloyal Customer,20,Business travel,Eco,337,0,0,0,2,2,2,2,,4,4,4,2,4,2,0,0.0,satisfied
37,82976,disloyal Customer,23,Business travel,Eco,594,3,0,3,3,1,2,1,,5,5,5,4,4,1,0,0.0,neutral or dissatisfied
38,78694,Loyal Customer,48,Business travel,Business,723,3,3,3,3,4,3,4,4,4,4,4,5,4,3,8,,satisfied
39,1484,disloyal Customer,23,Business travel,Business,542,5,0,5,3,2,3,2,2,5,5,4,5,5,2,24,18.0,satisfied
40,7785,Loyal Customer,45,Business travel,Business,3823,4,4,4,4,5,3,5,,5,5,5,4,5,4,108,102.0,satisfied
41,2994,Loyal Customer,40,Business travel,Business,312,2,2,4,2,5,4,5,5,5,5,5,3,5,4,0,0.0,satisfied
42,101379,Loyal Customer,61,Business travel,Business,3883,2,4,4,4,5,2,3,2,2,2,2,2,2,2,0,13.0,neutral or dissatisfied
43,106027,Loyal Customer,31,Business travel,Business,1874,3,5,5,5,3,3,3,3,4,5,3,4,3,3,0,0.0,neutral or dissatisfied
44,68505,Loyal Customer,40,Business travel,Business,2224,3,3,3,3,5,4,4,,2,3,2,4,2,4,0,47.0,satisfied
45,1593,Loyal Customer,20,Personal Travel,Eco,788,1,4,1,3,2,3,2,2,2,5,3,1,4,2,0,0.0,neutral or dissatisfied
46,76602,Loyal Customer,68,Business travel,Eco Plus,190,3,3,3,3,3,5,3,3,2,3,4,3,3,3,0,10.0,neutral or dissatisfied
47,1241,Loyal Customer,47,Business travel,Business,168,0,4,0,4,2,1,5,3,3,3,3,5,3,4,0,3.0,satisfied
48,15487,Loyal Customer,55,Business travel,Business,1682,3,3,3,3,4,4,4,,4,4,4,3,4,3,0,0.0,satisfied
49,96210,Loyal Customer,59,Business travel,Eco,1061,1,0,0,4,5,1,5,5,1,2,4,3,3,5,0,,neutral or dissatisfied
50,88878,Loyal Customer,24,Personal Travel,Eco,370,2,3,2,4,5,4,5,5,3,2,4,3,4,5,31,26.0,neutral or dissatisfied
51,17663,disloyal Customer,17,Business travel,Business,372,4,5,4,2,3,3,3,3,5,2,5,5,5,3,0,0.0,satisfied
52,26922,Loyal Customer,53,Personal Travel,Eco,214,2,2,2,3,4,2,4,,3,4,2,4,2,4,0,0.0,neutral or dissatisfied
53,73802,disloyal Customer,14,Business travel,Eco,920,2,2,2,4,4,3,4,,5,2,4,5,4,4,0,0.0,neutral or dissatisfied
54,51743,Loyal Customer,25,Business travel,Business,2391,2,2,2,2,5,4,5,,3,2,5,5,4,5,0,0.0,satisfied
55,15696,Loyal Customer,53,Business travel,Business,2139,1,1,1,1,2,5,2,4,4,4,4,3,4,4,4,24.0,satisfied
56,69758,Loyal Customer,57,Business travel,Business,433,5,5,5,5,3,2,3,,5,5,5,1,5,5,7,23.0,satisfied
57,12174,Loyal Customer,66,Personal Travel,Eco,1075,0,5,0,4,5,4,5,5,4,5,4,2,2,5,5,5.0,satisfied
58,121208,Loyal Customer,12,Personal Travel,Eco,438,2,4,2,2,1,4,1,1,3,4,4,5,5,1,17,60.0,neutral or dissatisfied
59,70384,Loyal Customer,32,Personal Travel,Eco,647,5,5,5,2,1,2,1,,3,5,1,5,4,1,0,0.0,satisfied
60,30983,Loyal Customer,10,Personal Travel,Eco,822,0,5,1,4,5,3,4,5,3,3,5,3,5,5,0,0.0,satisfied
61,82133,Loyal Customer,46,Business travel,Business,888,1,1,1,1,5,2,4,,4,5,4,3,4,5,10,20.0,satisfied
62,113307,Loyal Customer,44,Business travel,Business,601,3,3,3,3,4,4,4,5,5,5,5,3,5,5,0,,satisfied
63,18366,Loyal Customer,34,Personal Travel,Eco,438,1,4,1,1,3,1,3,3,5,2,5,2,5,3,0,0.0,neutral or dissatisfied
64,120390,Loyal Customer,40,Business travel,Business,1671,5,5,5,5,3,1,4,4,4,4,4,3,4,4,0,0.0,satisfied
65,122516,disloyal Customer,49,Business travel,Business,220,3,3,3,2,5,4,4,,4,4,5,5,4,5,61,91.0,satisfied
66,77934,Loyal Customer,58,Personal Travel,Eco,1197,2,4,2,3,3,3,3,3,5,5,4,5,4,3,0,,neutral or dissatisfied
67,12961,Loyal Customer,37,Business travel,Business,1954,4,2,2,2,3,3,3,,4,3,4,1,4,4,10,,neutral or dissatisfied
68,87104,disloyal Customer,50,Business travel,Business,473,3,3,3,2,5,3,4,5,3,4,5,5,5,5,0,0.0,neutral or dissatisfied
